label,body_text
n,"met 2 girls named *PROPNAME* in line at Duane under the age of one, saw *PROPNAME* in the latest issue of GQ, and is happy that buying a new toothbrush head makes her believe in the world of new and wonderful possibilities. Love to all today and every other :)"
n,"made my 1st iMovie! My fave clips of me dancing to Aerosmith ""Crazy""...haha :)"
n,can't wait for the True Blood premiere ? I'm so into vampires right now
n,"Calc, History, comp, then chem"
n,can't wait for class tomorrow. I ? the 1st day of school :)
n,wants a keyboard.
n,Damn feeder valve keeps clogging.
n,"two times in that period,"
n,Still not smoking and my mood is improving.
n,"is hosting the preshow at the Downtown Comedy Club this Friday, next Friday and next Saturday.  It's ladies' month at the comedy club but you can hear your boy bring them out!"
n,Anyone think they could help me out by escorting me to the airport Friday morning? I can pay in undying gratitude and awkward silences....
n,"There is genius in persistence. It conquers all opposers. It gives confidence. It annihilates obstacles. Everybody believes in a determined man. People know that when he undertakes a thing, the battle is half won, for his rule is to accomplish whatever he sets out to do."
n,Does anyone in honors//AP spanish 3 know if we had HW 4 this weeknd?
n,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~"
n,…The photograph should be more interesting or more beautiful than what was photographed...  ---*PROPNAME*.
n,"""I suggest we learn to love ourselves before it's made illegal"""
n,wants to go to the Cuban-Puerto Rican festival tomorrrrrrrow
n,just took her first hot shower in a month:)!!! Yupeee... It felt SO good;)
n,"almost sliced his finger to the white meat.  APparently OJ's knife techniques don't work on pepper jack cheese, only on white girls (allegedly)."
n,really wants a kitten... and I shall name her *PROPNAME*.
n,"Research, french class, and then possibly work? I don't know, no one told me!"
n,Research and then work 4-close
n,"Far better it is to dare mighty things, to win glorious triumphs even though checkered by failure, than to rank with those poor spirits who neither enjoy nor suffer much because they live in the gray twilight that knows neither victory nor defeat."
n,"Dishwasher repair guy coming tomorrow am, hopefully phone that works being delivered tomorrow as well.  Big day ahead!"
n,to the city for the weekend!  :D
n,"Et un autre de partie..... Juste une question qui me trotte, on joue avec une équipe incomplète maintenant, on est supposé faire quoi là?"
n,is amused at the universe today. *cracks up*
n,mom: i'm sitting on main street like a hooker
n,"Why do three people that do not know eachother have ""pants on the ground"" in their updates?  Am I missing something?"
n,"is kinda glad my front brake is now functional, otherwise I would likely have been squashed by a little yellow car today."
n,"I think one of my gerbils had a stroke...Poor little guy!  After I put the food and water next to her she perked up a little, but she still is moving weird and falling over..."
n,i miss my sister.
n,"FACEBOOK EXPERIMENT: if you are reading this, whether we do or don't speak often, please post a comment of your first memory of you and me. When finished, post this paragraph on your own status; you'll be surprised what people remember about you."
n,"if your 2009 was good, i wish you an even better 2010.  if it could have been better, i wish you a great 2010.  i do not, however, wish any of you a happy new decade, since the decade ends at the end of next year"
n,i think this week of college just might kill me
n,"*PROPNAME* is Psychic, the Scurvy Curve!"
n,working 10-close and then maybe the movies again?
n,"I was sitting at LaGuardia, wondering why my flight was delayed, and then I saw on the TV that there had been a bomb threat and evacuation earlier today... lucky meeee"
n,spending a night with 9 IBM programmers feels like a chapter out of Microserfs.
n,Today I am thankful that I am able to be in Michigan with my family.  I am also thankful for my families in Michigan and in Atlanta.  I am most thankful for everyone I love being healthy today.
n,rediscovered an old journal and some old poetry of hers and is spending the day pondering who she is and who her real friends are                            ....... bed rest has given me A LOT of time to think lol *<:~)
n,had a better day than yesterday. Lack of sleep makes *PROPNAME* an unhappy girl
n,cut her hair again. Short. Again.
n,got a doggie!! what to name it?
n,what a night last night... my liver took one for the team
n,"Watered plants, cleaned gerbil cage, did laundry, washed the dishes. Starting on packing  then off to pick up my shoes from the cobbler!"
n,back in cali!!!
n,TRE UKER TIL OSLO.
n,finally got his Z-Visa and is so over the winter...
n,finally got behind the wheel of a vehicle today... and nearly crapped his pance!
n,"Crap, I think my eyes hate me. Far away stuff is super blurry now!!!!"
n,watching the Puppy Bowl...I want them all!
n,is writin'
n,omg trader joes delivers to me...yay
n,"facebook is entirely too distracting, cell me if ya need me"
n,"research, school until 7:30 and then *PROPNAME*'s house"
n,"If                            you're in a fair fight, you didn't plan it properly"
n,had a good weekend. :-)
n,"Seriously I dont know how male dominated Apple is but ""pad"" has a whole different connotation for us ladies"
n,LOVED Transformers! So cool!!
n,Success is often achieved by those who don't know that failure is inevitable.
n,had an awesome 4th.
n,"received early acceptance to Michigan Tech in Civil Engineering!!!!!!!!!!!!  Now its time for my peace corps application! Get ready world, 'cause here I come!"
n,"Mom woke me up today at noon; I was a little peeved. Stayed in bed for about ten minutes and went: Oh shit, it's Christmas isn't it. Completely forgot."
n,is frankly at a loss as far as her current internal project.
n,it's so cold outside!!!  hot cocoa anyone?  :D
n,Anyone know where I can get UV Paint cheapish not from Amazon?
n,Deadtime Stories.
n,"""Today, I was thinking about the expression 'revenge is a dish best served cold'. Then I considered that 'revenge is sweet'. I've come to the conclusion that revenge is ice cream. MLIA"""
n,four long islands in 30 nmin = happy
n,i need a job
n,"is watching cousin play computer game on televison box thing. Also, sleepy."
n,Fear and panic in the air
n,"Out of the Main Event... my 11k didn't make it far into Day 2.  I've been playing cash games non-stop for the last two days though.  Probably going to play again today... Now that I'm out, planning to come to *PROPNAME*'s wedding"
n,"Ok...there are piles of ""junk that isn't supposed to be on my desk"" that keep getting bigger...while the things that are supposed to live on my desk are magically disappearing.  What fresh hell is this?!"
n,rafi doin work!  GO DODGERS!
n,"""... it's a very dangerous time, the coalition for reason is extremely weak."""
n,SATURDAY!!! :D
n,"good morning starshine, the earth says hello.....=p"
n,"getting out, getting out, not staying in the house..."
n,"I, I'm thinking it's a sign That the freckles in our eyes Are mirror images, and when we kiss They're perfectly aligned And I have to speculate That God himself did make Us into corresponding shapes Like puzzle pieces from the clay"
