label,body_text
y,"Spartan Spooktacular, 8pm kickoff against the gofers, and then Halloween!!!"
y,"met 2 girls named *PROPNAME* in line at Duane under the age of one, saw *PROPNAME* in the latest issue of GQ, and is happy that buying a new toothbrush head makes her believe in the world of new and wonderful possibilities. Love to all today and every other :)"
y,is loving girls night out for *PROPNAME*'s bday!
y,"made my 1st iMovie! My fave clips of me dancing to Aerosmith ""Crazy""...haha :)"
y,can't wait for the True Blood premiere ? I'm so into vampires right now
y,"Calc, History, comp, then chem"
y,can't wait for class tomorrow. I ? the 1st day of school :)
y,wants a keyboard.
y,gets to visit the Baltimore Aquarium again!!!
y,Anyone think they could help me out by escorting me to the airport Friday morning? I can pay in undying gratitude and awkward silences....
y,is trying to get out of the doldrums
y,"There is genius in persistence. It conquers all opposers. It gives confidence. It annihilates obstacles. Everybody believes in a determined man. People know that when he undertakes a thing, the battle is half won, for his rule is to accomplish whatever he sets out to do."
y,The americans have forgotten that they were once terrorists to the british ~
y,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~"
y,…The photograph should be more interesting or more beautiful than what was photographed...  ---*PROPNAME*.
y,wants to go to the Cuban-Puerto Rican festival tomorrrrrrrow
y,just took her first hot shower in a month:)!!! Yupeee... It felt SO good;)
y,I have the best adhi in the whole world...and I HATE physics...
y,Keeping the people of Haiti in my thoughts
y,"s dream of a roof garden will not be dashed, gosh darn it!"
y,hates writing papers.
y,crawling into bed and sleeping for 500000000000   years..... <3 vegas
y,has the damn flu. Could the universe's timing have been any worse? She thinks not.
y,just as I remembered...rockclimbing is the shizz! Now I'm amp'd for the work week. ;D
y,really wants a kitten... and I shall name her *PROPNAME*.
y,"Research, french class, and then possibly work? I don't know, no one told me!"
y,Research and then work 4-close
y,"Far better it is to dare mighty things, to win glorious triumphs even though checkered by failure, than to rank with those poor spirits who neither enjoy nor suffer much because they live in the gray twilight that knows neither victory nor defeat."
y,"Dishwasher repair guy coming tomorrow am, hopefully phone that works being delivered tomorrow as well.  Big day ahead!"
y,Had an amazingly lazy and uneventful day... Saturday sucks!!!!!!!!!
y,"Why do three people that do not know eachother have ""pants on the ground"" in their updates?  Am I missing something?"
y,"I think one of my gerbils had a stroke...Poor little guy!  After I put the food and water next to her she perked up a little, but she still is moving weird and falling over..."
y,is thinking about a CTY reunion...hmmmm.......
y,"Forget fireworks, I want to see the *PROPNAME* funeral."
y,still attempting to finish this 10 page paper...
y,found Scorpius!
y,working 10-close and then maybe the movies again?
y,"I was sitting at LaGuardia, wondering why my flight was delayed, and then I saw on the TV that there had been a bomb threat and evacuation earlier today... lucky meeee"
y,spending a night with 9 IBM programmers feels like a chapter out of Microserfs.
y,Today I am thankful that I am able to be in Michigan with my family.  I am also thankful for my families in Michigan and in Atlanta.  I am most thankful for everyone I love being healthy today.
y,<//3 new dentist
y,rediscovered an old journal and some old poetry of hers and is spending the day pondering who she is and who her real friends are                            ....... bed rest has given me A LOT of time to think lol *<:~)
y,had a better day than yesterday. Lack of sleep makes *PROPNAME* an unhappy girl
y,Random girl (In a bus) : Are you half chinese?                                                               Me : HUH !!??????!!????
y,cut her hair again. Short. Again.
y,got a doggie!! what to name it?
y,is heading home
y,"hello ochem, please love me"
y,"Watered plants, cleaned gerbil cage, did laundry, washed the dishes. Starting on packing  then off to pick up my shoes from the cobbler!"
y,back in cali!!!
y,TRE UKER TIL OSLO.
y,finally got his Z-Visa and is so over the winter...
y,"has burnt her finger. It really hurts, as well."
y,"Crap, I think my eyes hate me. Far away stuff is super blurry now!!!!"
y,watching the Puppy Bowl...I want them all!
y,omg trader joes delivers to me...yay
y,"is home from work and back to packing//cleaning. January 2nd can't come soon enough, because this is starting to get really monotonous."
y,"Excited to see *PROPNAME* and *PROPNAME* tonight, run *PROPNAME*, and see the weight fall off my butt!"
y,chemistry is like being punched in the brain.
y,"research, school until 7:30 and then *PROPNAME*'s house"
y,"If                            you're in a fair fight, you didn't plan it properly"
y,"The only good thing about the 11 hour bus ride from Chennai to Madurai...we didn't die...despite the multiple attempts by the bus driver. Surprisenly we didn't hit any dogs, pedestrians, bicycles, motos, cars or trucks...very surprising."
y,had a good weekend. :-)
y,Heard *PROPNAME* after a long time.  Took me back to my ol' school and undergrad  days
