n,likes the sound of thunder.
n,is so sleepy it's not even funny that's she can't get to sleep.
n,"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3"
n,likes how the day sounds in this new song.
n,is home. <3
n,www.thejokerblogs.com
n,"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party."
n,is in Kentucky. 421 miles into her 1100 mile journey home.
n,was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.
n,is celebrating her new haircut by listening to swinger music and generally looking like a doofus.
n,has a crush on the Green Lantern.
n,has magic on the brain.
n,"saw Transformers, Up, and Year One this week. Good movie overload. :D"
n,Who wants to meet up on schedule pick-up day at Oviedo?
n,"desires the thrill of inspiration. Also, money."
n,is going to bed at 9:30! Yeah!
n,"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform."
n,thinks intangibility should be an option in reality settings.
n,"is tired. *PROPNAME*, let me go to sleep pl0x."
n,is discovering the many flavors of insomnia.
n,"is watching cousin play computer game on televison box thing. Also, sleepy."
n,Why is it I'm only getting the urge to draw when I have stuff to do for school? D;
n,Who'da thought a single text message could be enough to change my mind?
n,wishes to develop a super power that prevents her from needing to sleep.
n,"TELL ME WHAT TO DRAW, PLOX."
n,"found a bunny, bunny died, buried bunny, now is drawing."
n,<3
n,is just about insane by now.
n,wants to sleep eight hours tonight. And so she shall.
n,"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness."
n,has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.
n,"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!"
n,can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(
n,"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM."
n,is watching kid's cartoons and wishing she weren't so old.
n,"has work tomorrow, and hopes they teach her how to use the cash register. :D"
n,"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons."
n,has a really confusing internal dilemma. She also wonders if anyone can guess what it is.
n,thinks she needs to stop leaving so many pictures half-done before getting new ideas.
n,"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition."
n,is seeing 9 tonight... maybe?
n,"is going to work on comics, then crash into her futon with all the love unconsciousness deserves."
n,WEEKEND. I LOVE YOU.
n,"is listening to Relient K and thinking about plants, lawyers, and internships."
n,"is drawing instead of homeworking. :| This is fun, but not good."
n,will sleep like a champion tonight.
n,"dishes, webcomics, laziness, internal lack of disruption. Alright."
n,"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)"
n,has a magical ceiling.
n,"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep."
n,"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday."
n,hates FML on principle.
n,realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.
n,"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-"
n,"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu."
n,"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome."
n,is a little excited to see the talent show.
n,"is tired. She would sleep, but there's a cat on her desk that requires supervision."
n,"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell."
n,"needs a stupid, fluffy book to read inbetween experiences of normalcy."
n,will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.
n,"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3"
n,"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)"
n,needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.
n,spews toxic gas into your personal air bubble. It's super effective!
n,"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3"
n,"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all."
n,"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome."
n,"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness."
n,has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.
n,saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.
n,"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999."
n,", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue."
n,Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO
n,We are not who you think we are. We are Golden.
n,I am a lumberjack with a Castro Hat.
n,The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.
n,actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D
n,thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.
n,drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;
n,"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!"
n,"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?"
n,is open to requests.
n,is frankly at a loss as far as her current internal project.
n,is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).
n,can't sleep. Remedies?
n,Why are the people I want to talk to never online when I am?
n,"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life."
n,is in love with her hair today. <3
n,"was right. :) Today was pretty much fantastic, all around."
n,feels tomorrow will be a busy and very nice day. :)
n,is in the last day of her two-day mad dash to finish. Can she get all her work done it time???
n,Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?
n,had a three hour nap this afternoon and can't sleep because of it.
n,My dogs are so hood.
n,"is on a roll; one short of a turkey, now."
n,can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain.
