label,body_text
y,"Spartan Spooktacular, 8pm kickoff against the gofers, and then Halloween!!!"
y,"is sick and tired of people who comment on every SINGLE status update, no matter how INSIGNIFICANT. We've been here before, you know who you are."
y,"met 2 girls named *PROPNAME* in line at Duane under the age of one, saw *PROPNAME* in the latest issue of GQ, and is happy that buying a new toothbrush head makes her believe in the world of new and wonderful possibilities. Love to all today and every other :)"
y,"two times in that period,"
y,gets to visit the Baltimore Aquarium again!!!
y,Still not smoking and my mood is improving.
y,Anyone think they could help me out by escorting me to the airport Friday morning? I can pay in undying gratitude and awkward silences....
y,is trying to get out of the doldrums
y,The americans have forgotten that they were once terrorists to the british ~
y,"homecoming, the hunt, and jacqueline's birthday all this weekend!  fml, america, I miss you! no amount of red wine and croissants can console...wish I could be there!  ....happy birthday jacs!!! :("
y,"""...the event marked a major shift, what I might call a 'paradigm shift' if I were the kind of person who used terms like 'paradigm shift'..."""
y,…The photograph should be more interesting or more beautiful than what was photographed...  ---*PROPNAME*.
y,wants to go to the Cuban-Puerto Rican festival tomorrrrrrrow
y,just took her first hot shower in a month:)!!! Yupeee... It felt SO good;)
y,I have the best adhi in the whole world...and I HATE physics...
y,"s dream of a roof garden will not be dashed, gosh darn it!"
y,my body doth protest about the gym
y,hates writing papers.
y,crawling into bed and sleeping for 500000000000   years..... <3 vegas
y,"finally caught up on sleep :D now off to rake more leaves and then lose sleep yet again while studying accounting - call me if ur bored, i'll be up late..."
y,has the damn flu. Could the universe's timing have been any worse? She thinks not.
y,still has a moustahce.
y,"Dishwasher repair guy coming tomorrow am, hopefully phone that works being delivered tomorrow as well.  Big day ahead!"
y,Had an amazingly lazy and uneventful day... Saturday sucks!!!!!!!!!
y,"Why do three people that do not know eachother have ""pants on the ground"" in their updates?  Am I missing something?"
y,"I think one of my gerbils had a stroke...Poor little guy!  After I put the food and water next to her she perked up a little, but she still is moving weird and falling over..."
y,Needs job//money to support hobbies other than studying....
y,feeling slightly better...
y,"Forget fireworks, I want to see the *PROPNAME* funeral."
y,i miss my sister.
y,went into the shower with my new watch..oops
y,still attempting to finish this 10 page paper...
y,Just sneezed twice... now im all sneezed out. :)
y,"FACEBOOK EXPERIMENT: if you are reading this, whether we do or don't speak often, please post a comment of your first memory of you and me. When finished, post this paragraph on your own status; you'll be surprised what people remember about you."
y,"is excited about going to Sark! as, whilst he hasn't worked out exactly how long he has to wait, he knows he will be going soon!"
y,"I was sitting at LaGuardia, wondering why my flight was delayed, and then I saw on the TV that there had been a bomb threat and evacuation earlier today... lucky meeee"
y,Today I am thankful that I am able to be in Michigan with my family.  I am also thankful for my families in Michigan and in Atlanta.  I am most thankful for everyone I love being healthy today.
y,<//3 new dentist
y,rediscovered an old journal and some old poetry of hers and is spending the day pondering who she is and who her real friends are                            ....... bed rest has given me A LOT of time to think lol *<:~)
y,had a better day than yesterday. Lack of sleep makes *PROPNAME* an unhappy girl
y,Random girl (In a bus) : Are you half chinese?                                                               Me : HUH !!??????!!????
y,is bored in her own home... come and save me
y,"Happy New Year, Facebook denizens!!!"
y,got a doggie!! what to name it?
y,absolutely loves the London police department. I'm getting my ipod touch back!!!
y,"hello ochem, please love me"
y,"Watered plants, cleaned gerbil cage, did laundry, washed the dishes. Starting on packing  then off to pick up my shoes from the cobbler!"
y,finally got behind the wheel of a vehicle today... and nearly crapped his pance!
y,omg trader joes delivers to me...yay
y,"is home from work and back to packing//cleaning. January 2nd can't come soon enough, because this is starting to get really monotonous."
y,is getting disturbed by the deer in the meadow. They seem to be edging ever closer...they can smell fear
y,"Excited to see *PROPNAME* and *PROPNAME* tonight, run *PROPNAME*, and see the weight fall off my butt!"
y,chemistry is like being punched in the brain.
y,it's really amazing that a meatball can roll under a bush and eventually grow into a meatball tree.
y,excited for the wilco show tomorrow!
y,Heard *PROPNAME* after a long time.  Took me back to my ol' school and undergrad  days
y,It's WAYBACK WEEK! Everyone change your profile pic to a throwback picture of yourself when you were young!! Let's have fun and get everyone to do it. Copy and paste this to your status!
y,wishes the weekend was longer. Yayyyyy NC! Yay Smancy!
y,2 DAYS!!!!!!!!!!!!!!!
y,"received early acceptance to Michigan Tech in Civil Engineering!!!!!!!!!!!!  Now its time for my peace corps application! Get ready world, 'cause here I come!"
y,found that you can tell roughly where you are on the canal by the accents of the people who say hello!
y,has to be at work at 7am. Wait...since when do I have a job?
y,Trying to find schools for my C-level paper....
y,ONLY 2 MORE YEARS TILL THE WORLD ENDS! I'M STOKED
y,"Watched AVATAR and it was  :  1. A sort anti-pollution, green peace statement 2. A light heart warming love story 3. AND WHAT NOT TO DO DO WHEN WE ACTUAL INVADE OTHER PLANETS :D"
y,My car is full of all my wordly possessions....ah the nomadic life.
y,is sick =(
y,"is about to fall out of her bed, out of her clothes, and into the Niiiiiiiiiight Kitchen."
y,still feeling it
y,"I, I'm thinking it's a sign That the freckles in our eyes Are mirror images, and when we kiss They're perfectly aligned And I have to speculate That God himself did make Us into corresponding shapes Like puzzle pieces from the clay"
y,wishes she was a football fan...
y,"bought her 2010 Farmer's Almanac today.... horray for not having to write down every single sunrise, sunset, moonrise, moonset, and void of course pattern for next year! wOOt!"
y,"well my first class was cancelled because the professor thinks her whole family has come down with H1N1, so I'm trying to be productive anyway...."
y,Had an incredible night...from now on if ur looking for me on a tuesday night I will be at the derbs : )
y,damnit ducks!!! WIN SOMETHING!!!
y,"Homemade peach pie is done, now off to the pool!"
y,practicing patient assessment on my mom's daycare kids is more difficult than i thought. haha
y,"has a job interview tomorrow, wish me luck!"
y,If I wasn't such a dork than I don't think I'd have the friends that I do. I love you guys.
y,is gettin ready to head out to my group!
y,"Had a ridiculous time in Holland with his boys *PROPNAME* and *PROPNAME*. Now he needs some shoes, some finances and a hike up the highest mountain in Poland."
y,omg.... peopleofwalmart.com
y,home in the heights!
y,is wondering if anyone from the burbs is going down to u of i this weekend? party before the youngins start class?
y,had the biggest week in my company's history and its only Tuesday! yay! www.cdmpropertypreservation.com
y,is gettin ready for Reggae!
y,canteen grill then lazy dog cafe then maybe ucla? idk see you tonight bradley!!! :]]
y,Why are people from NeW Jersey so proud of being from New Jersey?
y,plodchetata:)
y,Snow predicted when I go home!!  I cant wait!
y,anyone have my gray wool coat? or remember the last time you saw it last night.... opps
y,"Some people walk in the rain, others just get wet.  *PROPNAME*"
y,"work till seven, then something with the fiance... :)"
y,"Going to have my emmissions tested, want to just get that out of the way and today seems like a good day for it!  Also running other errands..."
y,enjoyed doing Thriller on stage at the Oktoberfest
y,FREE SLURPEE DAY!!!
y,"Energizer Bunny arrested, charged with battery, lol!! Love the cheesy jokes... :-)"
y,going to the AFI rise against show tonight.  I have 2 extra tickets call me if you wanna buy them 714 612 0723.
y,*PROPNAME* was not as cool as I thought he would be.
y,its opening day at *PROPNAME* Memorial Park for Cold Season! BOO! :(
y,someone at last
y,I enjoy Thursdays masquerading as Fridays
y,"ok so it appears that people couldn't even comment on my poll:) so here it is again --- seems like everyone wants to write on my wall:) and i have been getting complains,.... so here is a poll: Do u want to write on my wall? Yes//No.. :"
y,"*PROPNAME* and *PROPNAME*'s wedding went great! I'm so happy for them!!!   Wish I had my sd card earlier so I could have taken more pics...  Now, in Richmond and back to the real world... missin' my darlin'..."
y,c'mon! couldnt there be a LITTLE SURF on my one day off!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
y,"An awakening? Lord awaken the sleeper. Let our eyes burst open to the rising light of Your Spirit. Let Your mercy wash us and let Your holiness mold us into the image of Your Son. Break us with fire and build us from the ashes. Come to life you dry, old b"
y,"Good god, vacation can't get here soon enough. Here I come sun, sand, fresh seafood, and pleasure reading!"
y,"is glad that it's summertime, and the living is easy. One of these mornings, she'll rise up singing."
y,"Cleveland celebrating birthdays with the King, New Years in the 'burg, cruisin' the Caribbean....gonna be a nice little weekend!"
y,trying out chrome for the first time seems pretty quick on the uptake
y,"never despair, but if you do, work in despair. writing"
y,safe and sound in Japan! :)
y,was NOT able to push her wedding date back to the fourth of September. The presiding judge was full-up. The date remains August 28th at 4:15.
y,"coffee, memo-writing//editing, and grey's//private practice..."
y,is celebrating her 90th day with dieting and work whahooo! not.
y,would love to have something that even remotely resembles a reasonable sleep schedule.
y,wats better than a cookie?... a GIANT cookie loool mmm yum :)
y,is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed
y,is H1N1 :-(
y,football and basketball at center court?
y,girls sitting next to me at the coffee shop are discussing STD's loudly...wonderful.
y,loves 3rd Rock from the Sun reruns
y,so good to be home!  Planning to get a few things accomplished today and then going to see my love after he gets off work!
y,"needs a love song that speaks of boots that take your breath away, or the sadness inside you feel when a beautiful piece of clothing costs more than a teeth cleaning. No more of this stuff about wishing a guy//girl would love you. How about wishing you had a place to wear a $3,000 gown? Could afford a $3,000 gown? :)"
y,really wants to learn some form of self-defence (or better yet offence :oP). Checking the *PROPNAME* website for classes...
y,Anyone know a good place for me to kennel my dog for thanksgiving// willing to dogsit?
y,Why is it soo cold?! Damn you winter lol
y,What kind of school doesn't have free printing for studetns and libraries that close at five?
y,prefers swimming in Lake Tahoe to staring at it on her computer desktop :)
y,"nd u know, i met a frend of mine who is presently workin for ZYNGA - yes, the same ZYNGA who made MAFIA WARS...."
y,Mmm. Nothing like tea and Galetti to transport me back to early morning breakfasts in Florence.
y,3//3//10 *PROPNAME* is coming!
y,Cant a man enjoy his Nobel Peace Prize for a day?  Just for a DAY!?
y,"I have to run, run to the moment that set me free. I need to know why I hear the sound... the sound of my dream -"
y,La Novia de Chucky...lol
y,"just saw FOUR timber rattlesnakes!! Thanks, *PROPNAME*! :) And I am SO much better at finding them than *PROPNAME*."
y,"oh yes its ladies night, and the feelins right! oh yes its ladies night, oh what a night..."
y,"ravenous black holes, ripples in the space-time continuum, intersex bass taking over US rivers, expectations influencing the wine-tasting experience, the possibility of quantum memory devices... just some of my Science Daily. Truth blows fiction out of the water!"
y,taking the Friday train to weekend town
y,"""No demanding without understanding"" --*PROPNAME*"
y,Congratulations *PROPNAME* on your new baby!
y,FML!!
y,"MUST WORK, but the facebook demands my time!"
y,wistfully working
y,really wishes she lived in England or France right about now
y,made it home somehow.
y,stupid people are stupid and Beverly Hills Police is at it's best as usual... ( *PROPNAME* needs to call me!!!)
y,hahhhahaha
y,2 months!!
y,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this week. Life is good"
y,is a new man
y,white
y,is never drinking again
y,"is being conformed to the image of Christ. Do you want to be like Jesus? Then you must learn something...you must learn how to love someone who does not meet the conditions. It's not easy, but it's not impossible."
y,is in love. With *PROPNAME*.
y,Last day of school until the New Year!! (3 days!)
y,U of I or Bust! call me if your in chambana please :)
y,Happy 4th of July People!
y,is celebrating with her...
y,"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!"
y,"after along sleepless week, I am pulling my old man card and going to bed before 12:00 on a Friday nights. Now if I can just find my dentures and cane"
y,"ohh, cleaning then reading for school... all the while just thinking about how much I can't wait to go home on Thursday!  Lots of time with my one and only, hunting, and all the fun and good people that go along with both!  Can Not Wait."
y,is warm and blood free...oh sweet sweet life! lol
y,Just updated my profile...Much has changed since college!
y,"IM football, Southside...life is good"
y,is super excited about the first day of dance practice!
y,arniuho :(
y,off to buy more coffee.
y,Guess how old I am in my profile photo
y,Thanku sooooo much everyone for my birthday comments - im very happy :) xxxx
y,is in need of sleep and clean laundry
y,C'est dangereux de danse parmi les chiennes de graisse
y,Do what you want cause a pirate is free. You are a pirate!
y,From All of Us to All of You a Very Merry Christmas :) !!!!
y,"yay for an official snow day!! :) But still have that job interview as far as I know, so don't get to stay in the bed and watch tv all day.... :("
y,is pumped to see harry potter with chaz...you are the best bf ever!
y,has come to the realization that I hate Architecture. Hate it. Integrations is the worst experience ever. I'll be happy passing with a C.
y,is making CDs and making out with *PROPNAME*.
y,is getting to old to party hop. Woo that was a lot of tequila.
y,"So, just about everyone on my friend list is highly upset that it's Monday; but I know that once I get through this ""9-6 in class + homework after that""  Monday, my week is nearly over... PLUS home on Thursday for fall break!!!!  It's going to be a great week, I can just feel it!"
y,"went to *PROPNAME*'s house (brother) for cedar-smoked walleye, yummy salad and potatoes, white wine and to see the International fireworks competition display-- tonight was a great presentation by China. :)"
y,is probably more territorial over her beer than her boy.
y,had a great holiday. Hopes the new year will bring better luck....
y,In Berkeley hit me up to hang out :)
y,THOSE KANGAROOS CAN KILL YOU!
