y,likes the sound of thunder.
y,is so sleepy it's not even funny that's she can't get to sleep.
y,"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3"
y,likes how the day sounds in this new song.
y,is home. <3
y,www.thejokerblogs.com
y,"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party."
y,is in Kentucky. 421 miles into her 1100 mile journey home.
y,was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.
y,is celebrating her new haircut by listening to swinger music and generally looking like a doofus.
y,has a crush on the Green Lantern.
y,has magic on the brain.
y,"saw Transformers, Up, and Year One this week. Good movie overload. :D"
y,Who wants to meet up on schedule pick-up day at Oviedo?
y,"desires the thrill of inspiration. Also, money."
y,is going to bed at 9:30! Yeah!
y,"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform."
y,thinks intangibility should be an option in reality settings.
y,"is tired. *PROPNAME*, let me go to sleep pl0x."
y,is discovering the many flavors of insomnia.
y,"is watching cousin play computer game on televison box thing. Also, sleepy."
y,Why is it I'm only getting the urge to draw when I have stuff to do for school? D;
y,Who'da thought a single text message could be enough to change my mind?
y,wishes to develop a super power that prevents her from needing to sleep.
y,"TELL ME WHAT TO DRAW, PLOX."
y,"found a bunny, bunny died, buried bunny, now is drawing."
y,<3
y,is just about insane by now.
y,wants to sleep eight hours tonight. And so she shall.
y,"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness."
y,has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.
y,"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!"
y,can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(
y,"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM."
y,is watching kid's cartoons and wishing she weren't so old.
y,"has work tomorrow, and hopes they teach her how to use the cash register. :D"
y,"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons."
y,has a really confusing internal dilemma. She also wonders if anyone can guess what it is.
y,thinks she needs to stop leaving so many pictures half-done before getting new ideas.
y,"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition."
y,is seeing 9 tonight... maybe?
y,"is going to work on comics, then crash into her futon with all the love unconsciousness deserves."
y,WEEKEND. I LOVE YOU.
y,"is listening to Relient K and thinking about plants, lawyers, and internships."
y,"is drawing instead of homeworking. :| This is fun, but not good."
y,will sleep like a champion tonight.
y,"dishes, webcomics, laziness, internal lack of disruption. Alright."
y,"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)"
y,has a magical ceiling.
y,"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep."
y,"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday."
y,hates FML on principle.
y,realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.
y,"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-"
y,"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu."
y,"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome."
y,is a little excited to see the talent show.
y,"is tired. She would sleep, but there's a cat on her desk that requires supervision."
y,"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell."
y,"needs a stupid, fluffy book to read inbetween experiences of normalcy."
y,will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.
y,"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3"
y,"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)"
y,needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.
y,spews toxic gas into your personal air bubble. It's super effective!
y,"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3"
y,"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all."
y,"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome."
y,"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness."
y,has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.
y,saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.
y,"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999."
y,", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue."
y,Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO
y,We are not who you think we are. We are Golden.
y,I am a lumberjack with a Castro Hat.
y,The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.
y,actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D
y,thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.
y,drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;
y,"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!"
y,"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?"
y,is open to requests.
y,is frankly at a loss as far as her current internal project.
y,is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).
y,can't sleep. Remedies?
y,Why are the people I want to talk to never online when I am?
y,"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life."
y,is in love with her hair today. <3
y,"was right. :) Today was pretty much fantastic, all around."
y,feels tomorrow will be a busy and very nice day. :)
y,is in the last day of her two-day mad dash to finish. Can she get all her work done it time???
y,Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?
y,had a three hour nap this afternoon and can't sleep because of it.
y,My dogs are so hood.
y,"is on a roll; one short of a turkey, now."
y,can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain.
y,is reflecting on it and is actually very happy she's not in IB right now.
y,has her class ring in with it's changes! Whoop whoop! <3 :D
y,KISS. KISS. LICK. <3
y,is too lazy to put her stuff back in order. Maybe tomorrow.
y,has a serious crush on *PROPNAME*. <3
y,has bed bugs..... ewwwww!
y,and mosquito bites
y,Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles
y,is annoyed with herself
y,"is not turning on her cell at the moment, or for the next few days- dont take it personally."
y,Is trying to figure out everything.....
y,wants no more friend or exboyfriend drama drama
y,is out for the count
y,"Its the little things in life- fresh flowers, katie ion, netflix instant movies"
y,is bummed the instant movie didnt pull through
y,wants to go to paris. anyone care to accompany me?
y,one minute at a time
y,Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload.
y,really hates California's economy right now
y,I lost.....my ex is in a relationship before me
y,"Is having a great day so far, thanks to santa paula noon meetings. and my mom."
y,is *PROPNAME*'s bestbian
y,misses the ability to drive
y,Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol.
y,"Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene"
y,anthony bourdain bliss
y,Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day.
y,is on her way up north to face her judgement
y,"Target is my savior- sandals, dresses and shirts, oh my!"
y,"is slightly smitten with the phoenix family. its weird, i know."
y,is hoping to finally get a break tomorrow!
y,rhinanna is just getting crazier and crazier. or more stupid.
y,feels like a bum without legs
y,"Having a job again is weird, but welcome."
y,is 3 years to go
y,s electronics are giving out.
y,is celebrating her 90th day with dieting and work whahooo! not.
y,is in love with her new black peacoat. Who else is pumped it's fall?
y,is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea
y,hates the business that is the United States' healthcare system
y,thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck.
y,is excited for NBC thursdays- especially excited for community
y,is in love with *PROPNAME*.
y,"""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie."
y,is flashing lights kanye style
y,i got a break! a $3000 healthcare break! whoooooo
y,is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you.
y,ARGGGGGGGGGGGGG!!!!!!!
y,"true blood is getting me in the halloween spirit. damn, bill is hot."
y,michael scott dancing in the booze cruise episode is really entertaining to me right now.
y,"the office, cleaning, and hanging con mi madre are my drugs of choice this evening"
y,RIP Prague nights Fall semester 2007
y,needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?
y,"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!"
y,is ready for her day off
y,life is looking up
y,is excited to kick it old school with an old friend in a new place
y,"why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica."
y,is rediscovering her love for bjork
y,"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off."
