label,body_text
y,"is sick and tired of people who comment on every SINGLE status update, no matter how INSIGNIFICANT. We've been here before, you know who you are."
y,"made my 1st iMovie! My fave clips of me dancing to Aerosmith ""Crazy""...haha :)"
y,can't wait for the True Blood premiere ? I'm so into vampires right now
y,can't wait for class tomorrow. I ? the 1st day of school :)
y,wants a keyboard.
y,Damn feeder valve keeps clogging.
y,is very anxious for House to start again in september
y,has officially deleted her bebo page
y,Does anyone in honors//AP spanish 3 know if we had HW 4 this weeknd?
y,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~"
y,…The photograph should be more interesting or more beautiful than what was photographed...  ---*PROPNAME*.
y,"""I suggest we learn to love ourselves before it's made illegal"""
y,wants to go to the Cuban-Puerto Rican festival tomorrrrrrrow
y,just took her first hot shower in a month:)!!! Yupeee... It felt SO good;)
y,Keeping the people of Haiti in my thoughts
y,"tiny fingers...can't type...pinky hurts...too many octaves...Why? Why, genetics, why?"
y,really wants a kitten... and I shall name her *PROPNAME*.
y,is totally xcited for da ball 2moz yay!!!!! :D
y,to the city for the weekend!  :D
y,wishes she could teleport herself to Dallas tonight to celebrate George's 20th anniversary at Wilshire...
y,is amused at the universe today. *cracks up*
y,mom: i'm sitting on main street like a hooker
y,"is kinda glad my front brake is now functional, otherwise I would likely have been squashed by a little yellow car today."
y,is thinking about a CTY reunion...hmmmm.......
y,went into the shower with my new watch..oops
y,"if your 2009 was good, i wish you an even better 2010.  if it could have been better, i wish you a great 2010.  i do not, however, wish any of you a happy new decade, since the decade ends at the end of next year"
y,found Scorpius!
y,i think this week of college just might kill me
y,"*PROPNAME* is Psychic, the Scurvy Curve!"
y,"I was sitting at LaGuardia, wondering why my flight was delayed, and then I saw on the TV that there had been a bomb threat and evacuation earlier today... lucky meeee"
y,is bored in her own home... come and save me
y,cut her hair again. Short. Again.
y,got a doggie!! what to name it?
y,has nothing (of interest) to do.
y,has officialy decided that *PROPNAME* is named after *PROPNAME*.
y,back in cali!!!
y,TRE UKER TIL OSLO.
y,"Crap, I think my eyes hate me. Far away stuff is super blurry now!!!!"
y,watching the Puppy Bowl...I want them all!
y,#NAME?
y,"up nice and early....heading to melb soon, *PROPNAME* is coming today WOOHOOO!!!"
y,Pain is a bitch.
y,"Excited to see *PROPNAME* and *PROPNAME* tonight, run *PROPNAME*, and see the weight fall off my butt!"
y,"facebook is entirely too distracting, cell me if ya need me"
y,It's WAYBACK WEEK! Everyone change your profile pic to a throwback picture of yourself when you were young!! Let's have fun and get everyone to do it. Copy and paste this to your status!
y,"Seriously I dont know how male dominated Apple is but ""pad"" has a whole different connotation for us ladies"
y,LOVED Transformers! So cool!!
y,had an awesome 4th.
y,"Mom woke me up today at noon; I was a little peeved. Stayed in bed for about ten minutes and went: Oh shit, it's Christmas isn't it. Completely forgot."
y,is frankly at a loss as far as her current internal project.
y,it's so cold outside!!!  hot cocoa anyone?  :D
y,Anyone know where I can get UV Paint cheapish not from Amazon?
y,*PROPNAME* decided it would be good fun to spill noodles all over her and all over the floor!
y,"""Today, I was thinking about the expression 'revenge is a dish best served cold'. Then I considered that 'revenge is sweet'. I've come to the conclusion that revenge is ice cream. MLIA"""
y,i need a job
y,is hungry for haggis
y,"is watching cousin play computer game on televison box thing. Also, sleepy."
y,"Ok...there are piles of ""junk that isn't supposed to be on my desk"" that keep getting bigger...while the things that are supposed to live on my desk are magically disappearing.  What fresh hell is this?!"
y,"""... it's a very dangerous time, the coalition for reason is extremely weak."""
y,"good morning starshine, the earth says hello.....=p"
y,"getting out, getting out, not staying in the house..."
y,"I, I'm thinking it's a sign That the freckles in our eyes Are mirror images, and when we kiss They're perfectly aligned And I have to speculate That God himself did make Us into corresponding shapes Like puzzle pieces from the clay"
y,wishes to develop a super power that prevents her from needing to sleep.
y,"Lame Canada! Sorry neighbors to the north, but after China’s opening Olympic ceremony 2 years ago, that was just weak. Even *PROPNAME* can’t show up 10,000 in sync drumming Chinamen. Glad the U.S. didn’t get the bid for 2010 lol."
y,"bought her 2010 Farmer's Almanac today.... horray for not having to write down every single sunrise, sunset, moonrise, moonset, and void of course pattern for next year! wOOt!"
y,"I don't want to get sick, but I think it's happening anyway :("
y,is jammin on DJ Hero with *PROPNAME*
y,Got called in to work tomorrow. At least I don't have to run groups. Bed early tonight.
y,should give up on art and be a scientist.
y,"Reading ""A Clockwork Orange"", and then on to ""Slaughter-House five""...probably"
y,creative block....schematic drawing due tomorrow....design gods please give me somethin' to work with!!!
y,Schoools out for... Winter?
y,cheers to the freakin weekend!
y,is pole dancing on Saturday morning...LoL :)
y,"is attending a multi-country bar-b-que....me, one brit, one swiss, one french, a cuban american, a jewish american, one turk, and some hungarians...happy 4th!"
y,omg.... peopleofwalmart.com
y,"""I said he's a fairy I do suppose//flyin thru the air in pantyhose//he may be very sexy or even cute//but he looks like a sucka in a blue and red suit//I said you need a man who's got finesse//& his whole name across his chest//he may be able to fly all thru the night//but can he rock a party til the early light//he can't satisfy you with his little worm//but I can bust you out w my Super sperm!!"" Rapper's Delight on Superman"
y,got his permit.
y,always enjoys the quiet sanctity of the church in the early morning hours on Sunday...
y,"Thank you, *PROPNAME*, for still being on the ballot so that stupid people could vote for you."
y,is wondering if anyone from the burbs is going down to u of i this weekend? party before the youngins start class?
y,saw Corialanus at the Globe today. Now where's Dido?
y,i'm going to one up toni: there aren't words for how good Avatar is.  suck on that kenny :)
y,"""*PROPNAME*"" and ""*PROPNAME*"" are my two middle names. Everyone calm down now..."
y,New Woody Allen is genius
y,Spit it so hard it oughta be a crime.
y,is BACK! AND BETTER THAN EVER!!!! A little wiser a lot stronger and much happier with a NEW ATTITUDE! :-)
y,today feels like forever!!!
y,officially hates interpreting poetry.
y,plodchetata:)
y,anyone have my gray wool coat? or remember the last time you saw it last night.... opps
y,is still sick...first time to miss christmas eve services...good thing i have great colleagues...
y,[h?-lo? ?-v??-ba-di hau a? ju]
y,"had a great weekend with *PROPNAME*... dancing, sightseeing, and most, importantly, just being together. :)"
y,~ grr... school sucks.
y,Bout to go to sleep. Goodnight for tonight. Yoooo that just rhymed
y,"Bored...gonna go watch Thundercats on 50"". Exciting evening, eh?"
y,Had a great birthday dinner at Carraba's with family :-)
y,*PROPNAME* doo-wops & hooligans <3
y,"ok so it appears that people couldn't even comment on my poll:) so here it is again --- seems like everyone wants to write on my wall:) and i have been getting complains,.... so here is a poll: Do u want to write on my wall? Yes//No.. :"
y,had funn at 6 flags! =]]
y,"""Please tell me you don't actually own a cloak"", ""I Own SEVERAL!"""
y,Not doing too well in the coordination department today. I ran the motorbike up some stair this morning and almost ate it just now (yet again on some stairs)
y,Avatar is my new favorite movie of all time!! So awesome! ? Neytiri...seriously the prettiest alien ever
y,Going to the premier of Harry Potter with me awesome cousins in the city!  Yay!  sry daniel.....
y,snipers get more head
y,was NOT able to push her wedding date back to the fourth of September. The presiding judge was full-up. The date remains August 28th at 4:15.
y,"3rd interview: Columbia, 24-27 Feb"
y,I've got yellow fever! :p
y,is celebrating her 90th day with dieting and work whahooo! not.
y,is watching Iron Jawed Angels.
y,wats better than a cookie?... a GIANT cookie loool mmm yum :)
y,Hello Taipei
y,is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed
y,*PROPNAME* is hilarious.
y,is 65 degrees 87 percent humidity warm enough to go out tonight in shorts hmm
y,"Ok...broken snow shovel, and the plow bastard we called is 2 hours late.  Don't mind too much that I'm missing work, but I DO mind that I have no food in the house and wanted to go BUY SOME FUCKING FOOD!  That plow motherfucker will be getting my SPACEBOOT up his PLOWTASTIC ASS!  As long as I don't pass out from starvation first, hmph."
y,Anyone know a good place for me to kennel my dog for thanksgiving// willing to dogsit?
y,"wasn't disuaded post-media blitz. Still thinks taxes are an appropriation of wealth, mandates are backed implicitly with a gun and ""freedom from want"" is a condition better reserved for animals and small children."
y,is proud to admit she is a 35 year old mom who LOVES Eminem.
y,heading home in a minute then off to look at bikes for bee's birthday in the morning!
y,happy all hallows' eve kids :)
y,Can't be arsed...
y,3//3//10 *PROPNAME* is coming!
y,"28 U.S.C. §76: No Excuses, Play Like a Champion."
y,finished my final. no more developmental psychology =]]
y,Giraffe
y,"""I find it absolutely appalling that anyone could believe that political affiliation would be used to determine who receives medical treatment. That's what race and socioeconomic standing are for."""
y,så jan thomas!!! hahhahaha
y,jeg mener at jeg har H1N1 i lungene
y,"is saying Lord take my hand, cover me and take me beyond what I understand."
y,3!!!
y,wants to play beatles rock band or wii resort but can't because keith is watching footloose
y,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this week. Life is good"
y,loves the holidays... but loves them more with a *PROPNAME*.
y,big congrats to my friend laura from wayland and her partner beth who just got hitched on prince edward island.
y,why do some peoples parents take everything out on their kids. it's so stupid and ugghh!!
y,"Those who died are justified, for wearing the badge, they're the chosen whites. You justify those that died by wearing the badge, they're the chosen whites"
y,white
y,"Watching a bunch of movies. I'm starting with ""The Quiet Earth"""
y,is in love. With *PROPNAME*.
y,I think i read that in a book somewhere.       Are you sure it was a book... are you sure it wasn't Nothing?            Oh ya.
y,so tired....................................it might snow tonight.
y,hauling stuff out and moving into nyu in several hours!!!!
y,9 inches :(
y,U of I or Bust! call me if your in chambana please :)
y,Ambrosia artemisiifolia why are you so cruel?
y,is celebrating with her...
y,"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!"
y,http:////www.youtube.com//watch?v=Sib2L6A6xgw
y,Sometimes I realise how insignificant I am in the universe. Then I get over it.
y,"The bike home for lunch is rather exhilarating when oversized truck make right turns from the left lane, without turn signals.  At least do it when the light is green maybe?"
y,arniuho :(
y,Guess how old I am in my profile photo
y,Thanku sooooo much everyone for my birthday comments - im very happy :) xxxx
y,@ the gym
y,I feel I must concede Defeat on this matter. *PROPNAME* is definately not Short.     (HONEST!)
y,is quickly learning that when making a French dish to be prepared to pour whole bottles of wine into the sauce lol
y,off to do some hardcore shoppimg for bee's
y,has come to the realization that I hate Architecture. Hate it. Integrations is the worst experience ever. I'll be happy passing with a C.
y,"For those of you who are just 6-7 hours away from 2010, Happy New Year//nuovo anno felice//nouvelle année heureuse etc., and for the rest of us, whether on the east or west coast, I hope it will be worth the wait :)"
y,"""Many of us spend our whole lives running from feeling with the mistaken belief that you cannot bear the pain. But you have already borne the pain. What you have not done is feel all you are beyond the pain.""   -*PROPNAME*"
y,i karate chopped a homeless guy at the dinner table because im a ninja!!!
y,"has too much to do in too little time. Why is the ""to-do"" list getting longer every day instead of shorter?"
y,"is more wag, less bark today."
y,"is not drunk, just posessed by a highly retarded ghost."
y,had a great holiday. Hopes the new year will bring better luck....
y,In Berkeley hit me up to hang out :)
y,"finally graudated, despite the weather. Thank you, Jesus. And thank you all for your love and support and thanks to my love who came out to celebrate with me last night!"
y,gettin stuff done! :-)
y,Its a good night for fishing.
y,"""those left standing will make millions writing books on the way it should have been"""
y,abburido...
y,is at an interesting stage in his life...
y,got Brutal Legend.
y,"misses having hobbies.  Geez, law school, suck the life out of me, why don't you?"
y,is waiting....
y,I need to be asleep. I get up in....5 hrs ? No idea really. What am I doing again ?
y,"I don't mean to seem disrespectful, officer. But god damn, I want like three of you."
y,*PROPNAME* made it up to me today... after I waited for her for a half hour past our appointment time. Sheesh. But *PROPNAME* was awesome enough to let me have some hot chocolate :)
y,"If cavemen and astronauts got into a fight, who would win?"
y,is in Dallas...
y,Sorry people that i posted those quizzes ystrday. I shouldnt have done that. they were stupid anyways.
y,"ATTENTION - READ THIS AND THEN RE-COPY IT TO YOUR OWN STATUS TO GET THE WORD OUT: If you get a notification that says a friend reported you to Facebook for being offensive or in violation of terms of service, do NOT click it. It's a virus. Please post this on your own site for your friends. REPOSTING"
y,bored and watching the hockey game.
y,"is going on a deposition, my first real one with OCB!"
y,is writing a Psychology essay.
y,"I thought the Kindle was a stupid idea, but the iPad...wow, this is the future of personal computing, a segue into Minority Report-like ""surface computing"". Way to stay ahead of the curve, Apple."
y,stress-free... finally
y,"I've always known I'd be a bank robber. So judge all you want, ladies and gentlemen. Because you never did become an astronaut."
y,RUDY IS COMING AGAIN!!!
y,Fear My Mighty Pigeon Army!!!!
y,going to your cousin's wedding?  awesome.  going to legend's bar afterwards?  not.
y,is so excited to start a summer book club!!
y,There's a flying hooker watching you hug! Go away hooker...
y,likes pina coladas and getting caught in the rain
y,is very happy - for myself n for charlotte woop :D  p.s. cheers for the car lol :P
y,have to admit... zombieland was pretty good
y,"has a paper due tomorrow. will start in a bit, i think. would've helped to have read anything before this point. ah well!"
y,playitaaaa...!!! video week
y,Lesson planning sucks. . .so I'm procrastinating.
y,Don't forget to sign up for the Ultimate Club!!!!
y,"doing freaking laundry, in and out of the apt."
y,is at jury duty ugh
y,NEW SNL!
y,"I have no excuses, least of all for God.  Like all tyrants, he is not worthy of the spit you would waste on negotiations.  The deal we have is infinitely simpler--i don't call him to account, and he extends me the same courtesy..."
