label,body_text
n,is loving girls night out for *PROPNAME*'s bday!
n,"made my 1st iMovie! My fave clips of me dancing to Aerosmith ""Crazy""...haha :)"
n,can't wait for the True Blood premiere ? I'm so into vampires right now
n,can't wait for class tomorrow. I ? the 1st day of school :)
n,Does anyone in honors//AP spanish 3 know if we had HW 4 this weeknd?
n,"""I suggest we learn to love ourselves before it's made illegal"""
n,I have the best adhi in the whole world...and I HATE physics...
n,"Research, french class, and then possibly work? I don't know, no one told me!"
n,Research and then work 4-close
n,"Dishwasher repair guy coming tomorrow am, hopefully phone that works being delivered tomorrow as well.  Big day ahead!"
n,"Is no feeling to good, had to come home fa work :-("
n,is amused at the universe today. *cracks up*
n,"Why do three people that do not know eachother have ""pants on the ground"" in their updates?  Am I missing something?"
n,"is kinda glad my front brake is now functional, otherwise I would likely have been squashed by a little yellow car today."
n,"I think one of my gerbils had a stroke...Poor little guy!  After I put the food and water next to her she perked up a little, but she still is moving weird and falling over..."
n,is thinking about a CTY reunion...hmmmm.......
n,went into the shower with my new watch..oops
n,Just sneezed twice... now im all sneezed out. :)
n,Hope ya all have a Great weekend. xxx
n,working 10-close and then maybe the movies again?
n,spending a night with 9 IBM programmers feels like a chapter out of Microserfs.
n,Today I am thankful that I am able to be in Michigan with my family.  I am also thankful for my families in Michigan and in Atlanta.  I am most thankful for everyone I love being healthy today.
n,<//3 new dentist
n,is bored in her own home... come and save me
n,got a doggie!! what to name it?
n,is heading home
n,"Watered plants, cleaned gerbil cage, did laundry, washed the dishes. Starting on packing  then off to pick up my shoes from the cobbler!"
n,back in cali!!!
n,TRE UKER TIL OSLO.
n,finally got his Z-Visa and is so over the winter...
n,watching the Puppy Bowl...I want them all!
n,"facebook is entirely too distracting, cell me if ya need me"
n,"research, school until 7:30 and then *PROPNAME*'s house"
n,It's WAYBACK WEEK! Everyone change your profile pic to a throwback picture of yourself when you were young!! Let's have fun and get everyone to do it. Copy and paste this to your status!
n,LOVED Transformers! So cool!!
n,Anyone know where I can get UV Paint cheapish not from Amazon?
n,made her first attempt at cooking bok choy...not sure there will ever be a second.
n,i need a job
n,"Ok...there are piles of ""junk that isn't supposed to be on my desk"" that keep getting bigger...while the things that are supposed to live on my desk are magically disappearing.  What fresh hell is this?!"
n,"""... it's a very dangerous time, the coalition for reason is extremely weak."""
n,"good morning starshine, the earth says hello.....=p"
n,Let's go State!
n,will soon fall into ETS's GRE trap ~
n,"Lame Canada! Sorry neighbors to the north, but after China’s opening Olympic ceremony 2 years ago, that was just weak. Even *PROPNAME* can’t show up 10,000 in sync drumming Chinamen. Glad the U.S. didn’t get the bid for 2010 lol."
n,"well my first class was cancelled because the professor thinks her whole family has come down with H1N1, so I'm trying to be productive anyway...."
n,had a busy day. Time for a nap before possibly carving pumpkins this evening:)
n,Please spread the word that the DET FusionX Photoshoot timings are out. CHECK SCHOOL EMAIL! Those GP people who still owe me their resumes... tomorrow is the deadline.
n,is jammin on DJ Hero with *PROPNAME*
n,is pole dancing on Saturday morning...LoL :)
n,omg.... peopleofwalmart.com
n,"""I said he's a fairy I do suppose//flyin thru the air in pantyhose//he may be very sexy or even cute//but he looks like a sucka in a blue and red suit//I said you need a man who's got finesse//& his whole name across his chest//he may be able to fly all thru the night//but can he rock a party til the early light//he can't satisfy you with his little worm//but I can bust you out w my Super sperm!!"" Rapper's Delight on Superman"
n,home in the heights!
n,is wondering if anyone from the burbs is going down to u of i this weekend? party before the youngins start class?
n,"""*PROPNAME*"" and ""*PROPNAME*"" are my two middle names. Everyone calm down now..."
n,"it will be hot for the next few days, but it looks like we should be getting a denser cloud of percipitation coming over san diego soon which should help cool things down a few degrees. but don't hold me to it i'm not an actually meterologist so my interpertation of the satalite imagery might be off a little."
n,"Research meeting, french, and then work 3:30 to close, alone with Becky. :("
n,today feels like forever!!!
n,Why are people from NeW Jersey so proud of being from New Jersey?
n,Snow predicted when I go home!!  I cant wait!
n,anyone have my gray wool coat? or remember the last time you saw it last night.... opps
n,"work till seven, then something with the fiance... :)"
n,"Going to have my emmissions tested, want to just get that out of the way and today seems like a good day for it!  Also running other errands..."
n,had funn at 6 flags! =]]
n,"*PROPNAME* and *PROPNAME*'s wedding went great! I'm so happy for them!!!   Wish I had my sd card earlier so I could have taken more pics...  Now, in Richmond and back to the real world... missin' my darlin'..."
n,Everywhere and messy!
n,"Cleveland celebrating birthdays with the King, New Years in the 'burg, cruisin' the Caribbean....gonna be a nice little weekend!"
n,got sick of the crap £5 haircuts so upgraded to the £22 haircut today.still crap.
n,Not doing too well in the coordination department today. I ran the motorbike up some stair this morning and almost ate it just now (yet again on some stairs)
n,Avatar is my new favorite movie of all time!! So awesome! ? Neytiri...seriously the prettiest alien ever
n,"coffee, memo-writing//editing, and grey's//private practice..."
n,"3rd interview: Columbia, 24-27 Feb"
n,is celebrating her 90th day with dieting and work whahooo! not.
n,Hello Taipei
n,is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed
n,there were some scary people today... *whispers (opposite sex day)*
n,is H1N1 :-(
n,*PROPNAME* is hilarious.
n,football and basketball at center court?
n,so good to be home!  Planning to get a few things accomplished today and then going to see my love after he gets off work!
n,"Ok...broken snow shovel, and the plow bastard we called is 2 hours late.  Don't mind too much that I'm missing work, but I DO mind that I have no food in the house and wanted to go BUY SOME FUCKING FOOD!  That plow motherfucker will be getting my SPACEBOOT up his PLOWTASTIC ASS!  As long as I don't pass out from starvation first, hmph."
n,"wasn't disuaded post-media blitz. Still thinks taxes are an appropriation of wealth, mandates are backed implicitly with a gun and ""freedom from want"" is a condition better reserved for animals and small children."
n,is proud to admit she is a 35 year old mom who LOVES Eminem.
n,Can't be arsed...
n,Je deteste le francais.
n,La Novia de Chucky...lol
n,"28 U.S.C. §76: No Excuses, Play Like a Champion."
n,finished my final. no more developmental psychology =]]
n,"oh yes its ladies night, and the feelins right! oh yes its ladies night, oh what a night..."
n,så jan thomas!!! hahhahaha
n,jeg mener at jeg har H1N1 i lungene
n,"*PROPNAME*, I saw BMW Accident with Nissan Sunny around EXPO this morn b4 service, Nissan seemed to get damage less. BMW no airbags came out, Nissan Airbags out. BMW passengers got injury... I know cos BMW driver dad's cell group friend... so... drive safe... =)"
n,FML!!
n,So Horrible... Reformatting DELL PC at home... Stupid Driver CD... Finally can work... but... ONE by ONE install??? Zzz...
n,2 months!!
n,"Did *PROPNAME* in 16:37, made money in Vegas, and just had his 3rd 10 hour plus day this week. Life is good"
